         ps       /tb/rst        /tb/x             
          delta     /tb/ena   /tb/detector         
                      /tb/clk                      
                       /tb/DetectionCode           
          0  +3         1 0 0 00000000 0 0 
      50000  +1         1 0 1 00000000 0 0 
     100000  +1         0 0 0 00000001 0 0 
     150000  +1         0 0 1 00000001 0 0 
     200000  +1         0 1 0 00000010 0 0 
     250000  +2         0 1 1 00000010 0 0 
     300000  +1         0 1 0 00000011 0 0 
     350000  +4         0 1 1 00000011 0 0 
     400000  +1         0 1 0 00000100 0 0 
     450000  +4         0 1 1 00000100 0 0 
     500000  +1         0 1 0 00000101 0 0 
     550000  +4         0 1 1 00000101 0 0 
     600000  +1         0 1 0 00000110 0 0 
     650000  +4         0 1 1 00000110 0 0 
     700000  +1         0 1 0 00000111 0 0 
     750000  +4         0 1 1 00000111 0 0 
     800000  +1         0 1 0 00001000 0 0 
     850000  +4         0 1 1 00001000 0 0 
     900000  +1         0 1 0 00001001 0 0 
     950000  +4         0 1 1 00001001 0 0 
    1000000  +1         0 1 0 00001010 0 0 
    1050000  +4         0 1 1 00001010 0 1 
    1100000  +1         0 1 0 00001011 0 1 
    1150000  +4         0 1 1 00001011 0 1 
    1200000  +4         0 1 0 00000000 1 1 
    1250000  +3         0 1 1 00000000 1 0 
    1300000  +1         0 1 0 00000010 1 0 
    1350000  +4         0 1 1 00000010 1 0 
    1400000  +1         0 1 0 00000100 1 0 
    1450000  +4         0 1 1 00000100 1 0 
    1500000  +1         0 1 0 00000110 1 0 
    1550000  +4         0 1 1 00000110 1 0 
    1600000  +1         0 1 0 00001000 1 0 
    1650000  +4         0 1 1 00001000 1 0 
    1700000  +1         0 1 0 00001010 1 0 
    1750000  +4         0 1 1 00001010 1 0 
    1800000  +1         0 0 0 00001100 1 0 
    1850000  +1         0 0 1 00001100 1 0 
    1900000  +1         0 0 0 00001110 1 0 
    1950000  +1         0 0 1 00001110 1 0 
    2000000  +1         0 1 0 00010000 1 0 
    2050000  +3         0 1 1 00010000 1 0 
    2100000  +1         0 1 0 00010010 1 0 
    2150000  +4         0 1 1 00010010 1 0 
    2200000  +1         0 1 0 00010100 1 0 
    2250000  +4         0 1 1 00010100 1 0 
    2300000  +1         0 1 0 00010110 1 0 
    2350000  +4         0 1 1 00010110 1 0 
    2400000  +4         0 1 0 00000000 2 0 
    2450000  +3         0 1 1 00000000 2 0 
    2500000  +1         0 1 0 00000011 2 0 
    2550000  +4         0 1 1 00000011 2 0 
    2600000  +1         0 1 0 00000110 2 0 
    2650000  +4         0 1 1 00000110 2 0 
    2700000  +1         0 1 0 00001001 2 0 
    2750000  +4         0 1 1 00001001 2 0 
    2800000  +1         0 1 0 00001100 2 0 
    2850000  +4         0 1 1 00001100 2 0 
    2900000  +1         0 1 0 00001111 2 0 
    2950000  +4         0 1 1 00001111 2 0 
    3000000  +1         0 1 0 00010010 2 0 
    3050000  +4         0 1 1 00010010 2 0 
    3100000  +1         0 1 0 00010101 2 0 
    3150000  +4         0 1 1 00010101 2 0 
    3200000  +1         0 1 0 00011000 2 0 
    3250000  +4         0 1 1 00011000 2 1 
    3300000  +1         0 1 0 00011011 2 1 
    3350000  +4         0 1 1 00011011 2 1 
    3400000  +1         0 1 0 00011110 2 1 
    3450000  +4         0 1 1 00011110 2 1 
    3500000  +1         0 1 0 00100001 2 1 
    3550000  +4         0 1 1 00100001 2 1 
    3600000  +4         0 1 0 00000000 3 1 
    3650000  +3         0 1 1 00000000 3 0 
    3700000  +1         0 1 0 00000100 3 0 
    3750000  +4         0 1 1 00000100 3 0 
    3800000  +1         0 1 0 00001000 3 0 
    3850000  +4         0 1 1 00001000 3 0 
    3900000  +1         0 1 0 00001100 3 0 
    3950000  +4         0 1 1 00001100 3 0 
    4000000  +4         0 1 0 00010000 3 0 
